iter	MAE
211	791.3527504
212	790.8137256
213	790.480017
214	787.8230239
215	786.7975592
216	786.6496126
217	784.4826083
218	782.8693301
219	782.4942361
220	782.2689007
221	781.3153279
222	779.8424104
223	778.8227092
224	777.3637323
225	777.0978886
226	775.6293071
227	775.0689067
228	773.613772
229	772.5397659
230	772.1986834
231	770.7974379
232	769.0875692
233	768.1591178
234	767.7116364
235	765.3644762
236	764.2887679
237	761.8778049
238	760.9693945
239	760.0590143
240	759.7097667
241	759.4027718
242	759.0199119
243	757.4581369
244	756.0584793
245	755.9576384
246	754.3563488
247	753.649664
248	752.8544595
249	751.843237
250	750.2616829
251	749.0098428
252	748.870654
253	748.106392
254	747.1898848
255	747.0662622
256	746.3096437
257	745.0253062
258	743.9788749
259	743.7709755
260	743.4085526
261	743.2003046
262	742.1116455
263	741.2323882
264	740.9118559
265	739.9337093
266	738.5080368
267	737.0900662
268	736.377994
269	735.7061754
270	735.1494512
271	733.5188168
272	731.5241795
273	731.3642758
274	730.7058623
275	729.2632729
276	728.9714225
277	728.4489818
278	727.06392
279	726.9428663
280	726.0008604
281	725.7201188
282	723.8838409
283	723.2325691
284	722.5740629
285	722.2299189
286	722.0823938
287	721.9383786
288	721.4964636
289	719.7804733
290	718.4197094
291	717.6858384
292	717.2724452
293	716.2336902
294	716.0424162
295	715.8885414
296	715.0008896
297	714.7122202
298	714.5171608
299	713.3645135
300	712.8989159
301	711.2997174
302	710.5634276
303	710.2311821
304	709.4480355
305	709.2352149
306	709.1775916
307	708.6345228
308	707.5822474
309	706.7123282
310	706.2414911
311	705.8876652
312	705.3974965
313	704.7861854
314	703.6826408
315	703.5745797
316	703.1011394
317	703.0421002
318	702.8240565
319	702.4382154
320	701.3955865
321	701.20252
322	701.0442437
323	700.1273469
324	699.3243678
325	698.5905513
326	698.1691463
327	698.0932478
328	698.0089645
329	697.2710387
330	697.0910768
331	696.190393
332	695.5828111
333	695.529748
334	695.3640158
335	695.3267255
336	694.3190932
337	694.1984485
338	693.6185241
339	693.5714598
340	693.1200831
341	691.9673588
342	691.2916366
343	690.9186324
344	690.3561175
345	690.1971696
346	689.3853323
347	688.889511
348	688.7029658
349	688.075276
350	687.6870641
351	687.4446972
352	686.3882447
353	686.2384002
354	685.7285581
355	685.6442118
356	685.0248879
357	684.4544633
358	684.399416
359	684.1209386
360	683.5593804
361	682.5513416
362	681.820057
363	681.1744578
364	680.8346074
365	680.2173354
366	679.5302502
367	679.1494968
368	677.9325367
369	677.347774
370	677.1453307
371	677.0598953
372	676.6778836
373	675.7440384
374	675.4824452
375	674.9540019
376	673.7837487
377	673.1929143
378	672.9731653
379	672.2567868
380	672.1954605
381	672.1241551
382	671.3470441
383	670.4334387
384	670.3616686
385	670.2446504
386	669.7197017
387	669.6367452
388	669.5662306
389	669.3662429
390	669.2605388
391	669.1259467
392	668.7013665
393	668.6390474
394	668.089302
395	667.832657
396	667.7699538
397	666.6449745
398	666.0963555
399	665.7250847
400	665.4046632
401	665.2386858
402	665.1001245
403	665.0471248
404	665.0019964
405	664.4355376
406	663.7867532
407	663.7089752
408	663.5176022
409	662.8876238
410	662.5899358
411	662.1591343
412	662.0968542
413	661.8211391
414	661.7850914
415	661.5373506
416	661.378144
417	661.2481295
418	660.1977262
419	660.0706789
420	659.7244273
421	659.6529246
422	659.4521691
423	658.831096
424	658.526556
425	658.3082517
426	658.2341122
427	657.6358825
428	657.2809949
429	657.1706821
430	657.0777505
431	656.4425222
432	655.7164197
433	654.9329053
434	654.7122988
435	654.677873
436	654.5839216
437	654.257998
438	654.2113783
439	654.0062334
440	653.6141107
441	653.3703039
442	653.3349357
443	652.8117815
444	652.7262999
445	652.1421174
446	652.0138007
447	651.8888589
448	650.9053912
449	650.8116446
450	650.7246811
451	650.4646787
452	649.9824444
453	649.7056224
454	649.3890433
455	649.2132375
456	649.0713704
457	648.9713483
458	648.9072967
459	648.8476314
460	648.808324
461	648.7527085
462	648.7234715
463	648.5400442
464	647.8289314
465	646.8873259
466	646.4210543
467	646.2830394
468	645.5548202
469	645.4743907
470	644.8431387
471	644.5011422
472	644.3639741
473	644.0460443
474	643.3531917
475	643.2029386
476	643.0090245
477	642.572991
478	642.4777581
479	642.3829852
480	641.954568
481	641.443173
482	641.3351865
483	641.1323157
484	640.7807493
485	640.2556576
486	639.5613497
487	639.4731598
488	639.1791655
489	639.0261677
490	638.4739769
491	638.3686527
492	638.0975545
493	637.8582192
494	637.6108721
495	637.3205093
496	637.2533894
497	636.9930702
498	636.7132944
499	635.8947371
500	635.1986456
501	635.0203536
502	634.3208769
503	634.1707296
504	633.9951134
505	633.2044494
506	632.9295025
507	632.7343915
508	632.3841426
509	632.3276625
510	631.6645918
511	631.1085309
512	631.0379582
513	630.8770967
514	630.7602292
515	630.6317805
516	630.4359631
517	630.302636
518	629.9360238
519	629.5497241
520	629.4419422
521	629.344806
522	628.9728175
523	628.8780182
524	628.5213103
525	628.3294293
526	628.0065689
527	627.9482269
528	627.6579571
529	627.6005506
530	627.5640593
531	626.93674
532	626.3179021
533	626.0379833
534	625.3647195
535	625.0682272
536	624.8494039
537	624.658147
538	624.3702999
539	624.2263841
540	624.1655328
541	624.1267836
542	623.5534338
543	623.2793223
544	622.7128689
545	622.4592952
546	622.3659933
547	622.2464857
548	621.5651539
549	621.0150354
550	620.9226323
551	620.4272195
552	620.2277866
553	619.9668888
554	619.7098879
555	619.4148589
556	619.3346352
557	619.2734904
558	618.8369899
559	618.7597076
560	618.4369553
561	618.2219916
562	617.9531034
563	617.9073201
564	617.5638147
565	617.4575219
566	616.8444368
567	616.794312
568	616.5403187
569	616.2833035
570	616.2221073
571	615.9421678
572	615.731398
573	615.5294839
574	615.1195545
575	615.0797262
576	614.7972663
577	614.5031728
578	614.1047406
579	614.0036015
580	613.8588457
581	613.7172304
582	613.6568259
583	613.0343817
584	612.9692251
585	612.7373323
586	612.667628
587	612.5935735
588	612.5259993
589	612.4694435
590	612.4458764
591	612.303288
592	612.1788599
593	612.1041626
594	611.5181145
595	611.316961
596	611.247994
597	611.1879096
598	610.9581625
599	610.4465244
600	610.3337915
601	610.2886039
602	610.1609774
603	610.102339
604	609.7655913
605	609.7163766
606	609.129785
607	609.0264936
608	608.8820778
609	608.7574124
610	608.4543014
611	608.2239392
612	608.1132978
613	607.7745902
614	607.6596087
615	607.3801437
616	607.3289218
617	607.1409347
618	607.0946781
619	606.9167865
620	606.389283
621	606.1472062
622	605.7086335
623	605.6737207
624	605.5857914
625	605.549507
626	605.2368421
627	604.997818
628	604.8533523
629	604.694963
630	604.6333523
631	604.3301498
632	604.2481476
633	604.0341216
634	603.8711009
635	603.8205673
636	603.684729
637	603.3523617
638	603.304267
639	603.2681591
640	603.1102505
641	603.0922951
642	603.0512169
643	602.5896854
644	602.1322402
645	601.5671648
646	601.5144294
647	601.2617188
648	600.7768542
649	600.6259541
650	600.3435748
651	600.2755915
652	600.1953769
653	600.129832
654	600.0922278
655	599.9507666
656	599.7385722
657	599.5912675
658	599.547051
659	599.3651852
660	599.2206555
661	599.1378651
662	598.7713194
663	598.3236908
664	598.254546
665	598.1405494
666	598.0415841
667	598.0267537
668	597.8331607
669	597.762814
670	597.6859682
671	597.6232308
672	597.5612713
673	597.4706344
674	597.1697135
675	597.1281386
676	596.8293122
677	596.5545241
678	596.3244794
679	596.0336115
680	595.958455
681	595.7703721
682	595.6571238
683	595.47712
684	595.3828954
685	595.0694465
686	594.6483855
687	594.2055211
688	594.0253921
689	593.8845563
690	593.7134275
691	593.1923436
692	592.9874458
693	592.7879198
694	592.5373274
695	592.4645255
696	592.4121015
697	592.3052662
698	592.2752578
699	592.2333221
700	592.1413256
701	592.0335836
702	591.9654932
703	591.85444
704	591.6932983
705	591.4170496
706	591.2890981
707	591.2352142
708	591.2038444
709	590.7872696
710	590.684658
711	590.4424775
712	590.4065684
713	590.1576724
714	589.9757606
715	589.9323153
716	589.8943856
717	589.864136
718	589.6803827
719	589.5168566
720	589.0903993
721	589.0292881
722	588.9586822
723	588.807233
724	588.7329501
725	588.4672655
726	588.3967525
727	588.1384425
728	588.0282094
729	587.9649492
730	587.8488783
731	587.7790467
732	587.6212737
733	587.5895977
734	587.4665048
735	587.2784564
736	587.0945297
737	587.0401662
738	586.7872003
739	586.7104752
740	586.2729395
741	586.0429946
742	585.9281939
743	585.664486
744	585.5605357
745	585.4883833
746	585.4594834
747	585.2745229
748	585.2046914
749	585.0487599
750	584.6934111
751	584.6438812
752	584.5279014
753	584.4987461
754	584.4454959
755	584.2844236
756	584.1727744
757	584.1204516
758	583.9479958
759	583.8000723
760	583.2518682
761	583.2141747
762	583.0553099
763	582.741694
764	582.6842902
765	582.6441779
766	582.577784
767	582.4195371
768	582.3797157
769	582.1346269
770	581.9174008
771	581.8727
772	581.7911955
773	581.6729768
774	581.6489687
775	581.4515053
776	581.3344461
777	580.9887498
778	580.9119685
779	580.5760696
780	580.394933
781	580.1236252
782	580.0570371
783	579.9720557
784	579.9240884
785	579.863298
786	579.8006682
787	579.7351558
788	579.6235052
789	579.5732579
790	579.4983887
791	579.3289907
792	579.3036643
793	579.2233328
794	578.8804959
795	578.5670449
796	578.3710834
797	578.1735547
798	578.1406547
799	578.0784674
800	577.974209
801	577.73282
802	577.6516714
803	577.6268072
804	577.6075941
805	577.3750547
806	577.2563753
807	577.1904109
808	576.9087344
809	576.7717526
810	576.7223577
811	576.5652097
812	576.4030115
813	576.1761339
814	576.1137521
815	576.0670736
816	576.0024187
817	575.9841351
818	575.8254028
819	575.6862474
820	575.4041934
821	575.299049
822	575.2012212
823	575.1091788
824	574.9036765
825	574.7758187
826	574.662078
827	574.5940529
828	574.5540594
829	574.4165037
830	574.2990162
831	574.2310392
832	574.0753407
833	574.0235326
834	573.643165
835	573.1724705
836	572.9391304
837	572.8338026
838	572.6821312
839	572.5523875
840	572.3850518
841	572.3542685
842	572.3047743
843	572.1660126
844	572.0767904
845	572.0100312
846	571.6970493
847	571.5039766
848	571.4297759
849	571.335596
850	571.2147687
851	571.1812152
852	571.0780684
853	570.9044662
854	570.8153249
855	570.7660743
856	570.432423
857	570.2873547
858	570.2402289
859	570.2064634
860	570.0524837
861	569.7976396
862	569.6990892
863	569.5985959
864	569.5228727
865	569.4815889
866	569.1666463
867	569.0333602
868	568.8278003
869	568.6637923
870	568.6296452
871	568.5440978
872	568.4751071
873	568.3680347
874	568.1745024
875	567.9222787
876	567.8200462
877	567.7001086
878	567.5809606
879	567.4662338
880	567.4215069
881	567.3734826
882	567.3083747
883	567.1920528
884	567.1682777
885	566.8757838
886	566.691625
887	566.6534389
888	566.5469957
889	566.4710047
890	566.3971158
891	566.308513
892	566.2692914
893	566.1987049
894	566.1796784
895	566.107534
896	566.0724589
897	565.9942522
898	565.6740203
899	565.4002207
900	565.3723563
901	565.1766067
902	565.065205
903	564.7393812
904	564.6159962
905	564.5563631
906	564.5263519
907	564.0079512
908	563.9796336
909	563.8880206
910	563.7957663
911	563.7599045
912	563.587692
913	563.5256355
914	563.4964532
915	563.3627466
916	563.0913489
917	563.0612128
918	562.9146163
919	562.8263908
920	562.7620138
921	562.7308057
922	562.6542312
923	562.6259147
924	562.5873566
925	562.509749
926	562.450892
927	562.3625678
928	562.3403777
929	562.2491109
930	562.1465191
931	561.9594098
932	561.8537537
933	561.7367137
934	561.5327027
935	561.5193632
936	561.3425368
937	561.2676621
938	561.2362338
939	561.0335778
940	561.001035
941	560.987009
942	560.9315791
943	560.8918357
944	560.8222005
945	560.6810038
946	560.6247674
947	560.3884822
948	559.9676114
949	559.9465483
950	559.8393449
951	559.804666
952	559.7500327
953	559.7265813
954	559.5530358
955	559.4951178
956	559.2933791
957	559.2416503
958	559.2004868
959	559.1592902
960	559.1382061
961	559.0107644
962	558.68661
963	558.6715689
964	558.6318702
965	558.6112527
966	558.5702011
967	558.5415868
968	558.4301883
969	558.355738
970	558.3088823
971	558.2830957
972	558.1739709
973	558.1396917
974	558.1135293
975	558.043078
976	557.9514646
977	557.9290986
978	557.8902112
979	557.7987838
980	557.7348787
981	557.6055892
982	557.2727609
983	557.143109
984	557.1253308
985	557.0345689
986	556.9923003
987	556.933135
988	556.8754128
989	556.8338843
990	556.8262091
991	556.7450416
992	556.7034324
993	556.6361047
994	556.5989141
995	556.4301408
996	556.3973148
997	556.2751013
998	556.1880732
999	556.05597
