1 0 1470
2 1470 3255
3 4725 1194
4 5919 1770
5 7689 4547
6 12236 1073
7 13309 4214
8 17523 1817
9 19340 2139
10 21479 204
11 21683 4950
12 26633 2624
13 29257 2594
14 31851 354
15 32205 1520
16 33725 1493
17 35218 2182
18 37400 1486
19 38886 1074
20 39960 2660
21 42620 1008
22 43628 322
23 43950 4570
24 48520 1277
25 49797 886
26 50683 3911
27 54594 1333
28 55927 3121
29 59048 2616
30 61664 529
31 62193 1282
32 63475 1231
33 64706 2491
34 67197 1190
35 68387 8142
36 76529 583
37 77112 1328
38 78440 7408
39 85848 3861
40 89709 3708
41 93417 3460
42 96877 7002
43 103879 4915
44 108794 1653
45 110447 1587
46 112034 2030
47 114064 1335
48 115399 499
49 115898 1348
50 117246 2290
51 119536 4485
52 124021 1531
53 125552 11551
54 137103 2046
55 139149 809
56 139958 911
57 140869 1052
58 141921 1817
59 143738 708
60 144446 11564
61 156010 1775
62 157785 2957
63 160742 3738
64 164480 942
65 165422 2202
66 167624 1221
67 168845 4755
68 173600 303
69 173903 7048
70 180951 1035
71 181986 1774
72 183760 2559
73 186319 1477
74 187796 1238
75 189034 6672
76 195706 3532
77 199238 999
78 200237 3527
79 203764 1645
80 205409 2988
81 208397 1312
82 209709 501
83 210210 768
84 210978 4829
85 215807 1226
86 217033 6439
87 223472 2684
88 226156 436
89 226592 4235
90 230827 513
91 231340 1479
92 232819 2118
93 234937 2788
94 237725 3168
95 240893 1368
96 242261 1526
97 243787 1128
98 244915 1443
99 246358 2342
100 248700 584
101 249284 2807
102 252091 2696
103 254787 1240
104 256027 1096
105 257123 851
106 257974 971
107 258945 986
108 259931 2350
109 262281 1734
110 264015 1143
111 265158 893
112 266051 1124
113 267175 1348
114 268523 989
115 269512 1940
116 271452 2616
117 274068 1266
118 275334 2733
119 278067 2809
120 280876 2990
121 283866 1053
122 284919 3618
123 288537 2536
124 291073 4287
125 295360 3323
126 298683 5874
127 304557 3292
128 307849 913
129 308762 2320
130 311082 4620
131 315702 2305
132 318007 787
133 318794 5798
134 324592 1227
135 325819 6008
136 331827 867
137 332694 1611
138 334305 866
139 335171 3267
140 338438 6410
141 344848 819
142 345667 3413
143 349080 4030
144 353110 1240
145 354350 1074
146 355424 1795
147 357219 1528
148 358747 2490
149 361237 2489
150 363726 1741
151 365467 1372
152 366839 2903
153 369742 2430
154 372172 1561
155 373733 1854
156 375587 1074
157 376661 944
158 377605 3357
159 380962 1951
160 382913 1922
161 384835 2217
162 387052 1947
163 388999 3117
164 392116 1787
165 393903 3190
167 397093 510
168 397603 1098
169 398701 803
170 399504 2561
171 402065 1050
172 403115 2273
173 405388 1855
174 407243 1417
175 408660 717
176 409377 1670
177 411047 2531
178 413578 1559
179 415137 2279
180 417416 2382
181 419798 2242
182 422040 1060
183 423100 2513
184 425613 1419
185 427032 4179
186 431211 2102
187 433313 1783
189 435096 4206
190 439302 530
191 439832 823
192 440655 2557
193 443212 4232
194 447444 3551
195 450995 897
196 451892 4073
197 455965 3507
198 459472 1214
199 460686 2388
200 463074 2647
201 465721 3131
202 468852 5164
203 474016 5555
204 479571 4689
205 484260 5526
206 489786 1868
207 491654 3872
208 495526 6070
209 501596 2453
210 504049 4425
211 508474 962
212 509436 779
213 510215 4163
214 514378 2660
215 517038 2949
216 519987 1243
217 521230 1936
218 523166 2309
